[,latitude,longitude,]
[,39.55729,-94.32474,]
[,41.34137,-81.52927,]
[,32.33308,-89.15272,]
[,35.36334,-97.50996,]
[,33.43763,-79.12893,]
[,36.29796,-82.30109,]
[,32.52934,-92.03395,]
[,36.67903,-86.85195,]
[,40.33195,-80.63172,]
[,27.83947,-82.78772,]
[,41.98091,-86.11024,]
[,39.91843,-93.96154,]
[,38.80301,-81.35044,]
[,35.00817,-81.95182,]
[,35.58691,-82.59046,]
[,38.35252,-90.98093,]
[,32.36658,-86.24423,]
[,39.21117,-76.06445,]
[,41.37555453,-74.69236777,]
[,26.00813,-80.27818,]
[,36.59419,-79.41425,]
[,32.4697,-83.73888,]
[,44.27619,-84.22585,]
[,34.82964,-81.69713,]
[,29.34468,-98.55172,]
[,39.30428,-84.46499,]
[,39.5459,-76.10682,]
[,41.33138,-81.46597,]
[,39.33928,-84.34027,]
[,42.27102,-84.97536,]
[,33.4317,-84.17407,]
[,29.48492969,-98.4277071,]
[,29.96042,-90.30315,]
[,34.80121,-84.94427,]
[,42.49773,-96.4679,]
[,39.00974,-94.21362,]
[,27.86644,-82.64257,]
[,30.35181,-96.53381,]
[,37.45934,-85.88742,]
[,39.48027,-98.10984,]
[,32.77551,-108.2473,]
[,41.89094,-80.35103,]
[,43.6352991,-95.5969086,]
[,40.81911,-84.93738,]
[,32.83212,-104.41274,]
[,30.65667,-81.45338,]
[,41.65456,-90.57956,]
[,32.35751,-96.10389,]
[,42.08916,-90.15054,]
[,27.53453245,-81.80946231,]
[,43.19336,-88.71694,]
[,28.30486,-97.27526,]
[,33.48258,-89.73588,]
[,40.55172,-85.67548,]
[,41.10531,-78.77121,]
[,35.22258,-92.38825,]
[,38.54716,-89.12939,]
[,29.03772,-95.56893,]
[,43.83972,-84.7683,]
[,35.84447,-98.41933,]
[,41.27789,-84.37222,]
[,37.1603,-95.10891,]
[,36.97029,-76.98201,]
[,30.47962,-88.14653,]
[,39.74227,-93.99805,]
[,41.1249,-100.76291,]
[,40.75774,-93.31897,]
[,36.26741,-94.47857,]
[,31.16618,-83.43717,]
[,41.40936,-85.85023,]
[,31.31346,-84.34755,]
[,41.5344,-86.42847,]
[,42.17019,-92.03754,]
[,37.02354,-100.92222,]
[,30.02019,-91.83543,]
[,40.6163,-79.62432,]
[,36.83897,-76.1087,]
[,42.50717,-85.40903,]
[,39.12735,-89.81684,]
[,37.17102,-101.34472,]
[,38.74942,-93.73636,]
[,37.06903,-78.00336,]
[,37.29047,-78.39766,]
[,35.90061,-79.94768,]
[,39.83691,-82.60518,]
[,37.09035,-94.51318,]
[,32.76194,-92.41103,]
[,33.38333,-104.52284,]
[,39.03924,-90.14458,]
[,34.63578,-82.7832,]
[,41.43902,-90.15426,]
[,27.66917,-97.28465,]
[,39.43542,-94.20425,]
[,31.5293,-82.46346,]
[,39.38954,-89.08018,]
[,26.21654,-80.15614,]
[,39.43251,-83.83102,]
[,43.69108,-86.36414,]
[,31.8607,-82.60417,]
[,30.47855,-90.10645,]
[,36.86332228,-83.33721197,]
[,29.30968,-98.39287,]
[,41.83199,-85.6628,]
[,42.6191,-82.53468,]
[,32.13303,-94.8054,]
[,32.80905,-98.10756,]
[,29.06617,-82.06838,]
[,29.51615,-98.6971,]
[,37.00576,-85.92622,]
[,34.44067,-92.19269,]
[,31.82965,-86.61564,]
[,35.24325,-82.20826,]
[,33.49956,-101.92238,]
[,40.737,-92.41254,]
